19:50:48: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 50] Logger initialized
19:50:48: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 0.0, 4.0)
19:50:49: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 0.0, 1.0)
19:50:49: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 0.0, 0.6666666666666666)
19:50:50: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 0.0, 0.5)
19:50:50: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 0.0, 0.4)
19:50:51: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 0.0, 0.3333333333333333)
19:50:51: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 0.0, 0.2857142857142857)
19:50:52: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 2.5, 0.25)
19:50:52: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222)
19:50:53: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 6.0, 0.2)
19:50:53: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
19:50:54: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (3.3333333333333335, 5.0, 0.16666666666666666)
19:50:54: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
19:50:55: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
19:50:55: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333)
19:50:56: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (3.75, 0.0, 0.125)
19:50:56: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941)
19:50:57: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111)
19:50:57: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 0.0, 0.10526315789473684)
